date,date_,link
Сила струму. Одиниця сили струму. Амперметр. Вимірювання сили струму. Електрична напруга. Одиниця напруги. Вольтметр. Вимірювання напруги. ,02/16/2022,https://telegra.ph/2022-02-16-03-09-3
Розв’язування задач. Розрахунок опору металевого провідника. Питомий опір речовини. Реостати. ,02/21/2022,https://telegra.ph/2022-02-21-03-09-3
Розв’язування задач. Інструктаж з БЖ. Лабораторна робота № 5. «Дослідження електричного кола з паралельним з’єднанням провідників». ,03/16/2022,https://telegra.ph/2022-03-16-03-09-2
Методи розрахунку розгалужених електричних кіл. ,03/23/2022,https://telegra.ph/2022-03-23-03-09-3
Розв’язування задач. Розв’язування задач. ,03/28/2022,https://telegra.ph/2022-03-28-03-09-3
Розв’язування задач. Розв’язування задач. ,03/30/2022,https://telegra.ph/2022-03-30-03-09-3
Робота і потужність електричного струму. Розв’язування задач. ,04/04/2022,https://telegra.ph/2022-04-04-03-09-3
Робота і потужність електричного струму. Розв’язування задач. ,04/06/2022,https://telegra.ph/2022-04-06-03-09-3
Електричні нагрівальні пристрої. Запобіжники. ,04/13/2022,https://telegra.ph/2022-04-13-03-09-3
Контрольна робота. Енергозберігаючі технології в електротехніці та перспективи розвитку. ,04/18/2022,https://telegra.ph/2022-04-18-03-09-3
Контрольна робота. Енергозберігаючі технології в електротехніці та перспективи розвитку. ,04/20/2022,https://telegra.ph/2022-04-20-03-09-3
Електричний струм в металах Залежність опору металевих провідників від температури. ,04/25/2022,https://telegra.ph/2022-04-25-03-09-3
Електричний струм в металах Залежність опору металевих провідників від температури. ,04/27/2022,https://telegra.ph/2022-04-27-03-09-3
Розв’язування задач. Застосування електролізу. ,05/02/2022,https://telegra.ph/2022-05-02-03-09-2
Електричний струм в газах. Види самостійних газових розрядів. ,05/09/2022,https://telegra.ph/2022-05-09-03-09-3
Електричний струм в газах. Види самостійних газових розрядів. ,05/11/2022,https://telegra.ph/2022-05-11-03-09-3
Напівпровідникові прилади та їх застосування в техніці. Розв’язування задач. ,05/16/2022,https://telegra.ph/2022-05-16-03-09-3
Напівпровідникові прилади та їх застосування в техніці. Розв’язування задач. ,05/18/2022,https://telegra.ph/2022-05-18-03-09-3
Узагальнення і систематизація знань з теми. Проєктна робота ,05/23/2022,https://telegra.ph/2022-05-23-03-09-3
Узагальнення і систематизація знань з теми. Проєктна робота ,05/25/2022,https://telegra.ph/2022-05-25-03-09-2
